Model,permno,evtdate,cret,car,bhar,nrets,nrets_est
Market-Adjusted Model,12641,2022-08-16,-0.005923565,0.023579753,0.0212040679,21,100
Market-Adjusted Model,12644,2022-08-16,0.1675243417,0.1976233895,0.1946519749,21,100
Market-Adjusted Model,12646,2022-08-16,0.0095093192,0.0385793703,0.0366369523,21,100
Market-Adjusted Model,12647,2022-08-16,-0.058677413,-0.03289999,-0.03154978,21,100
Market-Adjusted Model,12648,2022-08-16,0.0174825922,0.0449934576,0.0446102253,21,100
Market-Adjusted Model,12649,2022-08-16,0.0945565609,0.1188324917,0.1216841941,21,100
Market-Adjusted Model,12651,2022-08-16,0.0162994685,0.0438263846,0.0434271016,21,100
Market-Adjusted Model,12652,2022-08-16,-0.018928893,0.0088883367,0.0081987401,21,100
Market-Adjusted Model,12654,2022-08-16,-0.033707459,-0.007045953,-0.006579826,21,100
Market-Adjusted Model,12655,2022-08-16,0.0070888274,0.0338179734,0.0342164605,21,100
Market-Adjusted Model,12656,2022-08-16,-0.027959438,-0.00061819,-0.000831805,21,100
Market-Adjusted Model,12657,2022-08-16,-0.02550554,0.0021868901,0.0016220935,21,100
Market-Adjusted Model,12658,2022-08-16,-0.005484426,0.0227751921,0.0216432074,21,100
Market-Adjusted Model,12659,2022-08-16,-0.041811863,-0.014487742,-0.01468423,21,100
Market-Adjusted Model,12662,2022-08-16,-0.014234863,0.0124753469,0.0128927701,21,100
Market-Adjusted Model,12666,2022-08-16,0.0080939202,0.033794924,0.0352215533,21,100
Market-Adjusted Model,12672,2022-08-16,0.0423077061,0.0675755432,0.0694353393,21,100
Market-Adjusted Model,12673,2022-08-16,-0.07783622,-0.052618756,-0.050708586,21,100
Market-Adjusted Model,12675,2022-08-16,-0.029797044,-0.004069337,-0.002669411,21,100
